,x,y,z
96,460843.1290654913,405536.4552747421,1159.0
97,194652.90878220333,199157.43718599714,473.0
98,533951.5134644941,444748.79696906824,1593.0
99,360095.6296157027,342372.47430834174,1762.0
100,518492.1653218739,323681.21483735926,1873.0
101,131020.64585241704,209052.38662024308,2418.0
102,435125.5158042713,351687.3506959453,1425.0
103,594650.4289617795,462985.5710722618,1096.0
104,477045.7294212619,230970.6211812282,405.0
105,483486.7918948115,236753.24421897437,591.0
106,380501.6385245496,443089.929087501,599.0
107,245152.64049182646,273714.63421943504,1101.0
108,644880.1396945207,396400.4659206383,2635.0
109,252540.901970991,260757.71775840782,943.0
110,426302.411563373,330329.67854834814,1835.0
111,616750.1044398164,481684.3468772331,449.0
112,382796.1079076598,402903.5066907648,848.0
113,460858.02341228194,250506.5869663367,119.0
114,522361.809618956,303184.434262394,717.0
115,469975.78630062816,457651.7762608491,1230.0
116,96792.39529158216,133245.96220253967,2256.0
117,232868.58584995492,90277.5326754218,740.0
118,592668.6568366329,457515.06080121454,1934.0
119,693644.9956813399,503763.7127356725,838.0
120,776804.7771062495,361661.7178894151,368.0
121,239312.40618791897,333748.79562931135,2944.0
122,661020.9951659043,419746.51155784633,1664.0
123,605407.8266457231,406979.90298825316,1961.0
124,316511.4125488966,392420.24952514656,607.0
125,453142.31536838337,270666.87910257746,788.0
126,774147.6648418626,501170.8022980811,976.0
127,436020.1777640067,315752.4470407162,2242.0
128,837850.0198738927,452930.3642776441,466.0
129,42986.066656109586,129089.42018466722,1161.0
130,354772.0954812507,276328.2488824697,1654.0
131,424625.34906035796,401829.0120090479,1987.0
132,114266.8939647632,214606.15391225368,1972.0
133,342621.8880268756,316595.3608368598,515.0
134,195890.1778059656,41890.019609712064,104.0
135,784680.3369016864,460064.0608773371,576.0
136,802906.5571801241,354752.2099381648,1337.0
137,87080.59489755961,125476.20893912017,1035.0
138,400741.1890695553,250925.5608663475,829.0
139,664984.5475625051,330030.43296480924,518.0
140,444228.66236818576,316488.9216989046,1677.0
141,222246.9878059546,249168.90760370996,1124.0
142,431387.7528928178,361595.23148053046,1374.0
143,15585.045346055413,160405.77565529756,700.0
144,590762.7886347885,441642.1905088825,1251.0
145,566201.2056727163,302514.25869070087,806.0
146,66929.28176701069,219671.67154214624,1409.0
147,137297.81709697575,185332.41060910653,2260.0
148,232108.99157677853,240688.55508170836,1367.0
149,216654.95127917017,309441.4300867412,2737.0
150,596829.0852525216,447661.12149740756,1355.0
151,439796.60626403353,305766.32008638885,2496.0
152,498521.77209078736,363167.0277491659,1985.0
153,523132.80218059133,365821.95521182474,2172.0
154,745448.4537747975,448313.69850440137,2289.0
155,760783.3057568735,386270.8688425841,500.0
156,542139.7369734575,486997.1280279495,471.0
157,436190.3289688859,258868.387511733,674.0
158,106458.59218315448,141015.8462342359,2637.0
159,463211.87499533413,421146.94749565143,2283.0
160,44496.1653607295,123073.8604621552,1140.0
161,195568.23009046022,209602.73586829472,888.0
162,179692.84944843786,364144.7859762572,1382.0
163,178937.37405540916,214962.49871075153,1184.0
164,206339.16835691506,60456.55630429741,1484.0
165,97893.99529369519,203782.44619707484,1539.0
166,578706.673508195,398366.2042446751,1582.0
167,499615.4245729887,435485.79023735505,2118.0
168,501696.8746668903,440864.83411153406,2461.0
169,385095.2808065777,362494.9393269224,2659.0
170,707613.6843250298,324882.76601679344,821.0
171,475281.1580927774,422466.40412143804,2224.0
172,405641.31040156825,374526.1629058346,2462.0
173,377873.13221156347,290380.2895999728,2276.0
174,227213.85082118306,311286.6512059532,1245.0
175,364368.68700984184,433875.60046420805,705.0
176,409600.06701406295,318596.70882948395,1503.0
177,290969.65839336853,306616.7111385297,738.0
178,254964.9782038476,265287.4021953065,722.0
179,740386.8758544533,468855.6455686148,1333.0
180,574639.114521116,366490.12860364746,2437.0
181,238586.1549811298,297010.07900147047,2629.0
182,647056.4832096177,491330.77242292743,766.0
183,171913.65645060287,254826.39339322317,1492.0
184,757511.3986895469,412684.4438941786,1433.0
185,430144.85686720937,263563.25548486784,368.0
186,570257.8586536346,480422.91778089944,811.0
187,591247.7516659428,357975.39149137493,1420.0
188,356632.79173553473,353815.68803112675,1095.0
189,138357.35676346562,65181.39039441571,1353.0
190,584477.6769597656,466801.40949527826,1251.0
191,282960.9527297284,372015.87434492167,1918.0
192,410658.85133702453,292973.06165381894,1143.0
193,250001.12290230684,282754.8731405148,1062.0
194,446081.1867915225,244079.56630877312,549.0
195,152190.1626566851,115377.09421365522,1430.0
196,127601.2855937116,323271.9632062288,742.0
197,211742.29779132328,300440.5843204167,2935.0
198,73362.83945530694,102517.97771548852,803.0
199,151378.013260716,218559.66417986806,2492.0
200,431058.4531449837,351307.1778870942,1098.0
201,799396.0575398086,381396.6149345413,340.0
202,517881.7138979813,281802.3703483427,1306.0
203,131412.29598612414,105650.31546078529,1910.0
204,86270.04081167211,98304.6261636382,1349.0
205,448752.1140520876,404272.6629984118,2436.0
206,508219.80056791863,327836.0593734123,2482.0
207,180253.44748810126,182242.64515815582,1075.0
208,535547.9731316932,377606.14514617994,815.0
209,204666.8567716984,66398.02860622201,1616.0
210,833075.0190914711,554758.6531119477,245.0
211,18248.92104608874,181535.05253734253,280.0
212,435992.52702880715,448786.0013297517,1735.0
213,660284.323443346,451287.8826925885,1350.0
214,691786.6305112701,360253.36307863705,655.0
215,488386.3984497947,367273.2455776334,2073.0
216,43583.223000656,189350.1715151174,1123.0
217,831581.1567278991,484352.49375404976,1136.0
218,667401.670904292,314318.83966601826,706.0
219,154249.00512583746,292828.31427324656,1159.0
220,787986.8218288382,395868.0035116719,341.0
221,187001.6873468496,185470.13306640182,350.0
222,562009.3561056114,302063.7290842794,424.0
223,381897.10640769236,244391.8756978456,264.0
224,468930.8528471005,240748.67614313215,839.0
225,618348.1797121717,356010.6301700566,912.0
226,175401.26019700407,269743.5231047971,2376.0
227,709586.2771461676,330520.33360429853,1045.0
228,650582.0995805084,423563.7115529189,1508.0
229,412969.5428915483,354768.43378722854,2070.0
230,135781.0765706689,320479.30344039015,1051.0
231,98009.9871266727,83517.66544100642,909.0
232,342903.7966611401,399518.7783786729,711.0
233,503153.90794833744,275158.5110596549,1030.0
234,766406.0188989085,354701.46033628564,749.0
235,421077.1118996634,355509.28684516065,2049.0
236,339502.4361353963,410926.7946934318,1544.0
237,413703.0663657231,375275.2425067574,1463.0
238,651606.6071033617,471046.1837003222,1073.0
239,655175.2267167864,492549.25195659976,607.0
240,20496.0878999196,92396.29021589737,922.0
241,478286.6574945243,371383.43583597336,1762.0
242,80909.03775159566,149420.403171747,2412.0
243,100324.67164766986,104716.34138003737,1195.0
244,183981.06123630644,56433.421556681395,1108.0
245,252149.2592195968,340095.95030405093,2789.0
246,112059.096774292,193635.015925562,2195.0
247,600793.202542637,458618.2032269621,1445.0
248,95218.0046783344,199237.72129860613,1809.0
249,665403.1893624412,409784.5955819506,1885.0
250,503541.26278569136,296096.0159442574,1205.0
251,396572.0307873863,399118.1851969715,2270.0
252,24310.95470897801,140886.8950341493,555.0
253,269385.40867179417,292416.3271851381,1635.0
254,564268.938156086,349569.05981956515,1567.0
255,839414.7011314374,523621.1479632864,381.0
256,134152.578478496,197195.53633746784,1544.0
257,185642.99447981728,218165.84997735918,1881.0
258,370781.36219309055,356183.03686756454,2041.0
259,240089.93021601194,344032.4501914978,3616.0
260,327214.64256056456,331824.79255171027,1568.0
261,227760.41802546004,81024.5183539521,1358.0
262,526529.0995618822,303606.85903833807,814.0
263,184274.98638526938,83547.63485250995,2210.0
264,346078.30313003407,305098.76414915174,193.0
265,332325.80432150466,351044.50594488904,2085.0
266,305284.0143128659,406412.9185649287,944.0
267,819821.4544557296,536135.327245662,725.0
268,101615.47323580139,278375.22018667497,1700.0
269,434997.7824821608,284675.4256280232,2280.0
270,311975.5167573665,383494.52246095147,1028.0
271,427509.4559342608,247796.94218796026,512.0
272,529440.9854189623,382107.7569378065,1967.0
273,588896.9813800482,415318.4909058735,2829.0
274,471872.09182476817,452767.3791305339,1145.0
275,445811.45757507026,301129.71863910556,1772.0
276,645919.2353528047,332949.98186774645,510.0
277,336750.9163567356,396308.0542127108,2014.0
278,452147.39785234636,306869.3429937614,1153.0
279,773453.9658099455,388202.7739876788,1460.0
280,226356.43771974352,247851.84550866578,2020.0
281,175056.1035493195,31897.71480845753,286.0
282,184138.56358305883,320187.1962231882,2192.0
283,662365.1211761977,356321.7657638211,872.0
284,661257.0851437745,409207.26743153017,1524.0
285,631035.0868235726,478519.5465076696,1164.0
286,804473.0797691853,549378.9385960689,274.0
287,578546.6431900288,440039.86502207816,1553.0
288,369699.6528119463,289762.3141833376,2054.0
289,391178.9388894181,413817.38628975954,2223.0
290,614079.8406499801,366031.36993236747,868.0
291,610238.4972978372,323317.0856682202,1061.0
292,164952.67045620602,111334.44511925336,2167.0
293,299024.1108802764,304073.30043304805,523.0
294,642999.5223054541,490726.5991861243,1360.0
295,779537.9323573853,394546.63679579645,781.0
296,70548.30789505522,174761.39966357965,2278.0
297,314031.3961812676,315071.72259755246,1213.0
298,672009.4894060213,394805.0692453636,2044.0
299,324935.2908927572,436242.6706886403,816.0
300,570486.2432971029,345038.6263103355,2277.0
301,429023.24981069093,232332.55201622657,203.0
302,709939.1506090118,506381.2260351144,457.0
303,437572.60080446507,300405.8054188173,2500.0
304,387836.2281972452,332128.17464307416,2111.0
305,425900.03769671713,442637.01978353877,1715.0
306,54084.22149371836,147384.31165643875,979.0
307,680206.2102185963,475324.16677962895,976.0
308,584798.9702844645,414795.4150473345,2918.0
309,328889.23368533864,398816.0863461364,2079.0
310,122312.20928485208,271349.05999420024,1559.0
311,574642.4802427299,345516.68963557296,1785.0
312,659505.7075133233,482713.9789775079,567.0
313,217428.44114485924,293274.6829086151,1421.0
314,863043.0744066301,457387.52394150477,480.0
315,40614.275141070946,201326.28453721106,1511.0
316,297057.54273418104,273151.11146253813,498.0
317,767314.332245081,333163.49622404296,408.0
318,661129.8269639879,498693.18154473323,940.0
319,155856.10099004727,130519.05264688656,2125.0
320,508382.2110590407,338257.4628561875,1344.0
321,372158.6510770773,386747.91313909274,1333.0
322,135230.352088215,250851.7376867542,1738.0
323,329451.7402201304,263118.58959052246,293.0
324,149142.5471252732,283824.1563320225,2189.0
325,177706.58172496717,107321.8424745109,827.0
326,643247.6255021829,369745.62429851014,1267.0
327,543122.5468218876,294821.50497884396,324.0
328,69058.79701852595,103929.34655722883,719.0
329,800605.1668474528,511159.4934419729,723.0
330,397730.27696529153,429635.99805235397,1294.0
331,102620.72768003622,125872.50419232901,1107.0
332,734729.9264263387,344741.35014680214,1361.0
333,647527.4339658609,470448.6112604821,893.0
334,505191.93096349254,400079.59079244547,2340.0
335,520352.22091221676,308209.14312454406,1522.0
336,74371.51995435933,52588.473520113155,618.0
337,87597.1013448558,228984.2503072666,322.0
338,270768.79232641583,402077.6079703858,913.0
339,666340.6662104798,367480.63951266743,1120.0
340,176931.6361697059,333232.88376530446,1617.0
341,227217.75845986773,364068.3065528888,1701.0
342,316940.05127184227,329836.4458356006,1814.0
343,604734.2938332697,469576.06557070184,701.0
344,310777.4427320736,363074.65097052976,1932.0
345,506561.93327092036,353649.97279658355,663.0
346,127458.20470124873,2700.8755130395293,3.0
347,389123.5193329736,362847.6296022339,2829.0
348,264049.44919672847,246516.18706248607,367.0
349,853540.7060577658,558709.0808195472,335.0
350,506236.9233640646,332835.9663516674,1287.0
351,120475.13145736937,190853.99456467293,2452.0
352,639386.1771788809,348057.90476566274,1208.0
